record_id_1,record_id_2,company_sim,company_clean_1,company_clean_2,label
C33004,C29441,0.992592593,computer security solutions,computer security solution,1
C25891,C30673,0.992592593,phoenix data communications,phoenix data communication,1
C42511,C48213,0.992307692,computers at work vtechio,computers at work vtech io,1
C34981,C41551,0.992307692,think network technologies,think network technolgies,1
C23884,C24867,0.992,peak methonds peak uptime,peak methods peak uptime,1
C21912-266,C21912-267,0.991687692,exclusive networks usa 24473 q2 23 / exclusive networks usa mdf events - partner aug. - oct. mee,exclusive networks usa 24472 q2 23 / exclusive networks usa mdf events - partner aug. - oct. meet,0
C28850,C46392,0.991666667,villages computer center,village computer center,1
C45162,D00198,0.991304348,california tritechnical,california tritechncial,1
C29409,C22039,0.991304348,innovative integrations,innovative integration,1
D00754,C51884,0.991304348,local network solutions,local network solution,1
C44556,C29661,0.991304348,micropulsetechnologies,micropulse technologies,1
C47851,C21624,0.990909091,atlanta datacom /adcom,atlanta datacom adcom,1
C21912-174,C21912-175,0.990909091,exclusive networks usa project 14283 quarterly social posts and monthly newsletter_q1 22,exclusive networks usa project 14282 quarterly social posts and monthly newsletter_q4 22,0
C35612,C45429,0.990909091,general communications,general communication,1
C47826,C21612,0.99047619,arnett services group,arnett service group,1
C30961,C40853,0.99047619,technology navigators,technology navigator,1
C21912-109,C21912-094,0.990361446,exclusive networks usa smb competitive displacement program 2021 q4_amer02210017mdf,exclusive networks usa smb competitive displacement program 2021 q3_amer02210016mdf,0
C25810,C30350,0.99,computer specialist,computer specialists,1
C34492,C39562,0.99,applied data systems,applied data system,1
C25495,C31175,0.99,busta communications,busta communication,1
C22398,C38208,0.99,rebnetik enterprises,rebnetik enterprise,1
C21912-202,C21912-171,0.989873418,exclusive networks usa dlb communication outreach program_amer01220081mdf_q4 22,exclusive networks usa dlb communication outreach program_amer01220080mdf_q3 22,0
C25766,C31248,0.989473684,adcomm technologies,adcom technologies,1
C21599,C45874,0.989473684,applied innovations,applied innovation,1
C36719,C21892,0.989473684,empire tech systems,empire tech system,1
C49195,C27438,0.989473684,lisalisamc mac.com3,lisalisamc mac.com,1
C21765,C46934,0.988888889,computer solutions,computer solution,1
C48261,C42780,0.988888889,cox communications,cox communication,1
C30405,C30213,0.988888889,digitech solutions,digitec solutions,0
C24020,C24343,0.988888889,downtown computers,downtown computer,1
C34803,C48873,0.988888889,imo tech solutions,imo tech solution,1
C30456,C25936,0.988888889,key communications,key communication,1
C21912-541,C21912-540,0.988571429,exclusive networks usa 421168 ruckus q125 / internal sales training q3,exclusive networks usa 421167 ruckus q125 / internal sales training q2,0
C21912-020,C21912-019,0.987878788,exclusive networks usa amer08190017mdf-tcc lead nurture program q4,exclusive networks usa amer08190016mdf-tcc lead nurture program q3,0
C23286,C37996,0.987878788,innovative technology solutions 3,innovative technology solutions,1
C31872,C23660,0.9875,aliado solutons,aliado solutions,1
C39965,C22961,0.9875,logical systems.,logical systems,1
C21912-359,C21912-332,0.98747438,exclusive networks usa 32334 q4 23 / exclusive networks usa mdf mailing - e-mail/traditional mail,exclusive networks usa 32332 q4 23 / exclusive networks usa mdf mailing - e-mail/traditional m,0
C21912-217,C21912-216,0.986896603,exclusive networks usa proj tse--283612-4561.1q1 23 exclusive networks internal product and services trainin,exclusive networks usa proj tse--283612-4562.1q2 23 exclusive networks internal product and services traini,0
C21912-159,C21912-121,0.986770982,exclusive networks usa dlb communication outreach program q2_amer01220079mdf,exclusive networks usa dlb communication outreach program q1_amer01220078mdf,0
C21912-108,C21912-085,0.986770982,exclusive networks usa dlb communication outreach_q2-q4 2021_amer11210130mdf,exclusive networks usa dlb communication outreach_q2-q4 2021_amer01210128mdf,0
C21912-149,C21912-119,0.986689422,exclusive networks usa product and service training day with fortinet_q2 22_amer01220075mdf,exclusive networks usa product and service training day with fortinet_q122_amer01220074mdf,0
C33181,C25772,0.986206897,computer business solutions i,computer business solutions,1
C36626,C40249,0.985714286,tech solution,tech solutions,1
C45385,C44247,0.985714286,arrow networks,arrow network,1
C48570,C48569,0.985714286,everything it,everything iot,0
C30204,C26431,0.985714286,infostructures,infostructure,1
C35240,D01179,0.985714286,stambaughness,stambaugh ness,1
C23492,C27248,0.985416667,sabyr consulting,sabr consulting,0
C21866,C31040,0.985185185,distinctive it consulting,distinctive i.t. consulting,1
C31687,C31056,0.985185185,micro products and services,micro priducts and services,1
C24090,C34001,0.985185185,2020 technologies,20/20 technologies,1
C21873,C30923,0.985185185,tpx communications,tp communications,0
C21912-340,C21912-356,0.984849702,exclusive networks usa 32331 q4 23 / exclusive networks usa mdf events - partner exn juniper f,exclusive networks usa 32333 q4 23 / exclusive networks usa mdf events - partner exn juniper,0
D00883,C33206,0.984615385,new comutech,new computech,1
C42881,C30424,0.984615385,virtualarmour,virtualarmor,1
C29937,C22047,0.983333333,integratechs,integratech,1
C46077,C27571,0.983333333,integritechs,integritech,1
C26063,C22900,0.983333333,ntt americas,ntt america,1
C34959,C37015,0.983333333,rj2 technologies,rj technologies,0
C39557,C46228,0.982608696,anderson technologies,anderson technologies i,1
C30022,C30097,0.982222222,qmtechnologies,qm technologies,1
C41375,C39865,0.981996435,integrated corporate solutions ics,integrated corporate solution ics,1
C22332,C34304,0.981818182,connection,connections,1
C47646,C27572,0.981818182,aasys group,aasys gorup,1
